asset_prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
5257.63,1288.15,-0.00,1211.85,-0.00
5360.38,1801.92,-0.00,698.08,-0.00
5278.24,1391.20,-0.00,1108.80,-0.00
5297.73,1488.63,-0.00,1011.37,-0.00
4571.59,0.00,-0.00,4642.03,-2142.03
5729.55,3647.77,-1147.77,0.00,-0.00
4665.59,0.00,-0.00,4172.04,-1672.04
4631.25,0.00,-0.00,4343.76,-1843.76
4433.35,0.00,-0.00,5333.23,-2833.23
4940.24,0.00,-0.00,2798.80,-298.80
5702.56,3512.80,-1012.80,0.00,-0.00
5104.74,523.70,-0.00,1976.30,-0.00
4966.20,0.00,-0.00,2669.00,-169.00
5372.04,1860.20,-0.00,639.80,-0.00
4451.30,0.00,-0.00,5243.52,-2743.52
4753.23,0.00,-0.00,3733.85,-1233.85
5333.82,1669.12,-0.00,830.88,-0.00
4740.56,0.00,-0.00,3797.21,-1297.21
5026.83,134.14,-0.00,2365.86,-0.00
5043.36,216.80,-0.00,2283.20,-0.00
5104.56,522.78,-0.00,1977.22,-0.00
4602.56,0.00,-0.00,4487.21,-1987.21
4984.77,0.00,-0.00,2576.13,-76.13
4727.77,0.00,-0.00,3861.13,-1361.13
5233.39,1166.95,-0.00,1333.05,-0.00
5006.75,33.75,-0.00,2466.25,-0.00
5312.65,1563.25,-0.00,936.75,-0.00
4787.65,0.00,-0.00,3561.76,-1061.76
4595.82,0.00,-0.00,4520.90,-2020.90
5912.67,4563.35,-2063.35,0.00,-0.00
4637.39,0.00,-0.00,4313.07,-1813.07
4219.96,0.00,-0.00,6400.20,-3900.20
5139.09,695.43,-0.00,1804.57,-0.00
5249.79,1248.94,-0.00,1251.06,-0.00
5241.45,1207.25,-0.00,1292.75,-0.00
4594.98,0.00,-0.00,4525.11,-2025.11
4761.18,0.00,-0.00,3694.12,-1194.12
4641.17,0.00,-0.00,4294.14,-1794.14
4856.25,0.00,-0.00,3218.73,-718.73
5014.49,72.46,-0.00,2427.54,-0.00
4850.17,0.00,-0.00,3249.14,-749.14
5321.48,1607.42,-0.00,892.58,-0.00
5084.69,423.46,-0.00,2076.54,-0.00
4572.45,0.00,-0.00,4637.75,-2137.75
5965.50,4827.52,-2327.52,0.00,-0.00
5277.61,1388.05,-0.00,1111.95,-0.00
5058.22,291.12,-0.00,2208.88,-0.00
5455.34,2276.71,-0.00,223.29,-0.00
5454.04,2270.19,-0.00,229.81,-0.00
4844.58,0.00,-0.00,3277.12,-777.12
4618.26,0.00,-0.00,4408.71,-1908.71
5935.87,4679.33,-2179.33,0.00,-0.00
5486.69,2433.46,-0.00,66.54,-0.00
5682.86,3414.29,-914.29,0.00,-0.00
4664.79,0.00,-0.00,4176.07,-1676.07
4674.22,0.00,-0.00,4128.92,-1628.92
5746.10,3730.51,-1230.51,0.00,-0.00
4397.26,0.00,-0.00,5513.71,-3013.71
5166.28,831.39,-0.00,1668.61,-0.00
5111.80,559.01,-0.00,1940.99,-0.00
5554.09,2770.43,-270.43,0.00,-0.00
5745.62,3728.10,-1228.10,0.00,-0.00
4746.29,0.00,-0.00,3768.54,-1268.54
4734.05,0.00,-0.00,3829.73,-1329.73
4830.75,0.00,-0.00,3346.25,-846.25
5177.90,889.51,-0.00,1610.49,-0.00
4894.81,0.00,-0.00,3025.95,-525.95
4997.82,0.00,-0.00,2510.92,-10.92
5539.25,2696.27,-196.27,0.00,-0.00
4694.27,0.00,-0.00,4028.66,-1528.66
5162.80,813.98,-0.00,1686.02,-0.00
5136.92,684.59,-0.00,1815.41,-0.00
